id,symbol,event_time_bj,classification,price_at_event,funding_rate,max_return_72h,max_dd_72h,return_72h_pct,drop_pct,ma_score,vol_ratio
228,1000BONKUSDT,2025-10-11 16:00,fake,0.014452,-0.0004,17.17,-10.25,10.39,,,
374,1000BONKUSDT,2025-11-06 04:00,fake,0.012504,-0.0003,10.76,-8.05,-0.28,,,
314,1000LUNCUSDT,2025-12-07 08:00,fake,0.06183,-0.0003,12.86,-23.47,0.74,,,
153,ACUUSDT,2026-01-22 00:00,strong,0.12957,-0.0009,200.07,-17.14,43.41,,,
154,ACUUSDT,2026-01-22 04:00,strong,0.12957,-0.0004,200.07,-17.14,43.41,,,
348,AERGOUSDT,2025-06-22 00:00,fake,0.1299,-0.0075,11.62,-21.45,-4.7,,,
275,AEROUSDT,2025-06-14 00:00,fake,0.7651,-0.0016,14.74,-10.1,3.74,,,
263,AEROUSDT,2025-10-11 08:00,fake,0.8444,-0.0177,15.4,-12.25,8.88,,,
344,AINUSDT,2025-07-11 20:00,fake,0.15209,-0.0012,11.95,-34.23,-29.21,,,
357,AIOTUSDT,2025-08-20 12:00,fake,1.67509,-0.0011,11.27,-23.37,-0.12,,,
312,AIOTUSDT,2025-08-20 16:00,fake,1.64818,-0.0019,13.09,-22.12,0.57,,,
365,AIOTUSDT,2025-08-20 20:00,fake,1.67949,-0.0032,10.98,-23.57,-2.83,,,
366,AIOTUSDT,2025-08-21 00:00,fake,1.67949,-0.0054,10.98,-23.57,-2.83,,,
313,AIOTUSDT,2025-08-21 04:00,fake,1.64987,-0.0027,12.97,-22.2,-2.37,,,
372,AIOTUSDT,2025-09-03 16:00,fake,1.6593,-0.001,10.79,-8.82,3.84,,,
373,AIOTUSDT,2025-09-03 20:00,fake,1.6593,-0.0021,10.79,-8.82,3.84,,,
347,AIOTUSDT,2025-09-04 00:00,fake,1.6455,-0.0007000000000000001,11.72,-8.05,3.77,,,
399,AIOTUSDT,2025-09-26 20:00,fake,0.861,-0.0008,9.88,-18.7,4.82,,,
305,AKTUSDT,2026-01-11 16:00,fake,0.502,-0.0106,13.21,-8.05,4.6,,,
306,AKTUSDT,2026-01-11 20:00,fake,0.502,-0.0076,13.21,-8.05,4.6,,,
231,AKTUSDT,2026-03-19 08:00,fake,0.5426,-0.0009,16.99,-9.8,10.73,,,
19,ARIAUSDT,2026-04-09 12:00,strong,0.169,-0.006500000000000001,476.98,-10.53,440.95,,,
167,ARIAUSDT,2026-04-09 16:00,strong,0.3405,-0.0069,190.01,-4.99,163.38,,,
59,BASEDUSDT,2026-04-15 20:00,strong,0.081,-0.0003,304.09,-2.19,37.31,,,
76,BASEDUSDT,2026-04-16 00:00,strong,0.09104,-0.0003,259.52,-8.04,7.03,,,
204,BEATUSDT,2025-12-09 00:00,fake,1.5852,-0.0075,19.08,-29.43,9.06,,,
205,BEATUSDT,2025-12-09 04:00,fake,1.5852,-0.0027,19.08,-29.43,9.06,,,
299,BIRBUSDT,2026-02-05 01:00,fake,0.2709,-0.0027,13.59,-34.92,-11.93,,,
300,BIRBUSDT,2026-02-05 02:00,fake,0.2709,-0.0022,13.59,-34.92,-11.93,,,
301,BIRBUSDT,2026-02-05 03:00,fake,0.2709,-0.0023,13.59,-34.92,-11.93,,,
379,BSBUSDT,2026-04-07 16:00,fake,0.18122,-0.0003,10.25,-10.04,6.14,,,
240,BTRUSDT,2026-01-17 16:00,fake,0.07185,-0.0016,16.81,-20.6,3.76,,,
13,BULLAUSDT,2026-01-29 16:00,strong,0.07706,-0.0036,522.89,-5.22,392.19,,,
14,BULLAUSDT,2026-01-29 20:00,strong,0.07706,-0.0044,522.89,-5.22,392.19,,,
25,BULLAUSDT,2026-01-30 00:00,strong,0.08774,-0.0084,447.07,-75.56,-72.5,,,
38,BULLAUSDT,2026-01-30 04:00,strong,0.09825,-0.0083,388.55,-84.12,-77.7,,,
49,BULLAUSDT,2026-01-30 08:00,strong,0.10932,-0.0051,339.08,-88.82,-85.46,,,
32,BULLAUSDT,2026-01-30 12:00,strong,0.09489,-0.0102,405.85,-87.12,-81.04,,,
33,BULLAUSDT,2026-01-30 16:00,strong,0.09489,-0.0038,405.85,-87.12,-81.04,,,
48,BULLAUSDT,2026-01-30 20:00,strong,0.10857,-0.0016,342.11,-88.74,-79.75,,,
50,BULLAUSDT,2026-01-31 00:00,strong,0.11142,-0.0008,330.8,-89.03,-81.39,,,
57,BULLAUSDT,2026-01-31 04:00,strong,0.11573,-0.0012,314.76,-89.44,-78.91,,,
77,BULLAUSDT,2026-01-31 12:00,strong,0.13479,-0.0044,256.11,-90.93,-70.84,,,
248,CLANKERUSDT,2025-11-15 08:00,fake,68.87,-0.0004,16.32,-17.58,-15.2,,,
345,CLOUSDT,2026-01-02 16:00,fake,0.3928,-0.0004,11.84,-33.55,10.03,,,
291,CLOUSDT,2026-01-10 00:00,fake,0.7167,-0.008,14.15,-18.93,-2.37,,,
162,COAIUSDT,2025-10-13 20:00,strong,6.785,-0.0011,196.23,-21.0,158.38,58.9,0,0.45
163,COAIUSDT,2025-10-13 21:00,strong,6.785,-0.0008,196.23,-21.0,158.38,58.9,0,0.48
164,COAIUSDT,2025-10-13 22:00,strong,6.785,-0.0007000000000000001,196.23,-21.0,158.38,58.9,0,0.57
165,COAIUSDT,2025-10-13 23:00,strong,6.785,-0.003,196.23,-21.0,158.38,58.9,1,0.61
80,COAIUSDT,2025-10-14 00:00,strong,5.736,-0.0015,250.4,-4.88,232.67,65.3,0,0.66
81,COAIUSDT,2025-10-14 01:00,strong,5.736,-0.0006,250.4,-4.88,232.67,65.3,0,0.68
82,COAIUSDT,2025-10-14 02:00,strong,5.736,-0.001,250.4,-4.88,232.67,65.3,1,0.59
83,COAIUSDT,2025-10-14 03:00,strong,5.736,-0.0018,250.4,-4.88,232.67,65.3,1,0.55
90,COAIUSDT,2025-10-14 04:00,strong,5.813,-0.0009,245.76,-0.74,205.59,64.8,0,0.5
91,COAIUSDT,2025-10-14 05:00,strong,5.813,-0.0012,245.76,-0.74,205.59,51.4,0,0.45
92,COAIUSDT,2025-10-14 06:00,strong,5.813,-0.0008,245.76,-0.74,205.59,51.4,0,0.43
