symbol,classification,event_time_bj,drop_pct,funding_rate,ma_score,vol_ratio,max_return_72h,c1_drop,c2_funding,c3_ma,c4_vol
ARIAUSDT,strong,2026-04-09 12:00,,-0.006500000000000001,,,476.98,0,1,0,0
ARIAUSDT,strong,2026-04-09 16:00,,-0.0069,,,190.01,0,1,0,0
COAIUSDT,strong,2025-10-20 16:00,56.4,-0.0004,2,1.83,252.96,1,0,1,1
COAIUSDT,strong,2025-10-20 18:00,43.2,-0.0004,1,1.29,252.96,1,0,0,0
COAIUSDT,strong,2025-10-14 00:00,65.3,-0.0015,0,0.66,250.4,1,1,0,0
COAIUSDT,strong,2025-10-14 01:00,65.3,-0.0006,0,0.68,250.4,1,0,0,0
COAIUSDT,strong,2025-10-14 02:00,65.3,-0.001,1,0.59,250.4,1,1,0,0
COAIUSDT,strong,2025-10-14 03:00,65.3,-0.0018,1,0.55,250.4,1,1,0,0
COAIUSDT,strong,2025-10-14 04:00,64.8,-0.0009,0,0.5,245.76,1,0,0,0
COAIUSDT,strong,2025-10-14 05:00,51.4,-0.0012,0,0.45,245.76,1,1,0,0
COAIUSDT,strong,2025-10-14 06:00,51.4,-0.0008,0,0.43,245.76,1,0,0,0
COAIUSDT,strong,2025-10-14 07:00,51.4,-0.0005,1,0.54,245.76,1,0,0,0
COAIUSDT,strong,2025-10-20 08:00,57.9,-0.0023,0,0.87,206.61,1,1,0,0
COAIUSDT,strong,2025-10-20 09:00,57.9,-0.002,0,1.0,206.61,1,1,0,0
COAIUSDT,strong,2025-10-20 10:00,57.9,-0.0019,0,1.0,206.61,1,1,0,0
COAIUSDT,strong,2025-10-20 11:00,57.9,-0.0016,0,0.94,206.61,1,1,0,0
COAIUSDT,strong,2025-10-20 12:00,57.9,-0.001,0,1.16,206.61,1,1,0,0
COAIUSDT,strong,2025-10-13 20:00,58.9,-0.0011,0,0.45,196.23,1,1,0,0
COAIUSDT,strong,2025-10-13 21:00,58.9,-0.0008,0,0.48,196.23,1,0,0,0
COAIUSDT,strong,2025-10-13 22:00,58.9,-0.0007000000000000001,0,0.57,196.23,1,0,0,0
COAIUSDT,strong,2025-10-13 23:00,58.9,-0.003,1,0.61,196.23,1,1,0,0
COAIUSDT,strong,2025-10-14 09:00,40.6,-0.0015,3,0.66,183.0,1,1,1,0
COAIUSDT,strong,2025-10-14 10:00,40.6,-0.0176,4,0.79,183.0,1,1,1,0
COAIUSDT,strong,2025-10-14 11:00,40.6,-0.02,4,0.93,183.0,1,1,1,0
COAIUSDT,strong,2025-10-14 12:00,40.6,-0.0044,4,1.17,183.0,1,1,1,0
HUSDT,strong,2025-06-29 08:00,,-0.0016,,,289.85,0,1,0,0
HUSDT,strong,2025-06-29 04:00,,-0.0012,,,287.72,0,1,0,0
HUSDT,strong,2025-06-29 00:00,,-0.0019,,,262.54,0,1,0,0
HUSDT,strong,2025-06-29 12:00,,-0.0009,,,261.61,0,0,0,0
HUSDT,strong,2025-06-29 16:00,,-0.003,,,212.83,0,1,0,0
HUSDT,strong,2025-06-28 16:00,,-0.002,,,188.32,0,1,0,0
HUSDT,strong,2025-06-28 20:00,,-0.0017000000000000001,,,188.32,0,1,0,0
LABUSDT,strong,2026-05-31 12:00,,-0.0036,,,247.09,0,1,0,0
LABUSDT,strong,2026-05-31 16:00,,-0.0023,,,247.09,0,1,0,0
LABUSDT,strong,2026-05-31 04:00,,-0.0022,,,206.64,0,1,0,0
LABUSDT,strong,2026-05-29 16:00,,-0.0009,,,191.71,0,0,0,0
LABUSDT,strong,2026-05-31 00:00,,-0.0019,,,187.55,0,1,0,0
LABUSDT,strong,2026-05-31 08:00,,-0.0018,,,185.32,0,1,0,0
LABUSDT,strong,2026-05-30 08:00,,-0.0008,,,184.24,0,0,0,0
MUSDT,strong,2025-07-08 20:00,6.7,-0.0026,5,0.77,378.72,0,1,1,0
MUSDT,strong,2025-07-09 00:00,10.4,-0.0018,2,1.59,378.72,0,1,1,1
MUSDT,strong,2025-07-09 04:00,6.1,-0.0004,2,0.65,356.54,0,0,1,0
MUSDT,strong,2025-07-08 16:00,2.8,-0.0046,5,1.55,346.85,0,1,1,1
MUSDT,strong,2025-07-09 12:00,-5.7,-0.0033,4,0.61,305.77,0,1,1,0
MUSDT,strong,2025-07-08 04:00,16.4,-0.0004,3,0.55,291.27,0,0,1,0
MUSDT,strong,2025-07-09 16:00,-3.2,-0.0015,5,0.95,274.9,0,1,1,0
MUSDT,strong,2025-07-09 20:00,-2.9,-0.0017000000000000001,4,0.85,274.9,0,1,1,0
MUSDT,strong,2025-07-08 12:00,0.8,-0.0027,4,0.58,229.61,0,1,1,0
MUSDT,strong,2025-07-10 00:00,-14.9,-0.0040999999999999995,5,0.89,220.05,0,1,1,0
MUSDT,strong,2025-07-07 20:00,,-0.008,,,188.55,0,1,0,0
MYXUSDT,strong,2025-08-04 13:00,-50.4,-0.0004,5,3.7,555.67,0,0,1,1
